Order Tracker,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security,Side,Order Qty,Order Price,Order Value,Order Status,Remaining Qty,Reject Reason,Contra Broker,Account ID,Last Filled Quantity,Filled Qty,TIF,Expiry Date,Disclose Qty,Minimum Qty,Order Date and Time,Client Order Id,Last Change Time,Execution Id,Trader Report Id,Exchange Order Id,Exchange
NTB.N0000,BUY,20,332.00,"6,640.00",NEW,20,,,CAS/92390-LI/0,0,0,DAY,,20,0,2026-01-19 07:28:53.0,92390LI0-wo5WBdK59,2026-01-19 12:58:53,E0PyeI9GurF8,,O0PyeMzJU89y,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",NEW,5,,,CAS/92390-LI/0,0,0,DAY,,5,0,2026-01-19 07:26:52.0,92390LI0-wo3IHM3bn,2026-01-19 12:56:52,E0PyeI9Gur5d,,O0PyeMzJU85c,CSE
HARI.N0000,BUY,1,"5,500.00","5,500.00",NEW,1,,,CAS/92390-LI/0,0,0,DAY,,1,0,2026-01-19 07:26:29.0,92390LI0-wo7R1d6bB,2026-01-19 12:56:29,E0PyeI9Gur4T,,O0PyeMzJU84y,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",NEW,5,,,CAS/92390-LI/0,0,0,DAY,,5,0,2026-01-19 07:23:44.0,92390LI0-woAADILWB,2026-01-19 12:53:44,E0PyeI9Guqqu,,O0PyeMzJU7yi,CSE
TJL.N0000,BUY,500,34.00,"17,000.00",NEW,500,,,CAS/92390-LI/0,0,0,DAY,,500,0,2026-01-19 07:15:23.0,92390LI0-wo2ds3FFT,2026-01-19 12:45:23,E0PyeI9Guq96,,O0PyeMzJU7fv,CSE
TJL.N0000,BUY,100,34.20,"3,420.00",NEW,100,,,CAS/92390-LI/0,0,0,DAY,,100,0,2026-01-19 07:12:16.0,92390LI0-woHaAgxzH,2026-01-19 12:42:16,E0PyeI9Gups3,,O0PyeMzJU7Yg,CSE
TJL.N0000,BUY,100,34.50,"3,450.00",NEW,100,,,CAS/92390-LI/0,0,0,DAY,,100,0,2026-01-19 07:11:37.0,92390LI0-woi1tnFMm,2026-01-19 12:41:37,E0PyeI9Gupo1,,O0PyeMzJU7Wz,CSE
TJL.N0000,BUY,500,35.30,"17,650.00",FILLED,0,,ASI,CAS/92390-LI/0,500,500,DAY,,0,0,2026-01-19 06:30:42.0,92390LI0-woLy28gAr,2026-01-19 12:00:42,E0PyeI9Gulrr,,O0PyeMzJTv8X,CSE
TJL.N0000,BUY,500,35.30,"17,650.00",NEW,500,,,CAS/92390-LI/0,0,0,DAY,,500,0,2026-01-19 03:30:52.0,92390LI0-woLy28gAr,2026-01-19 09:31:51,0,,O0PyeMzJTv8X,CSE
TJL.N0000,BUY,500,35.30,"17,650.00",NEW,500,,,CAS/92390-LI/0,0,0,DAY,,500,0,2026-01-19 03:30:52.0,92390LI0-woLy28gAr,2026-01-19 09:00:52,E0PyeI9GuP40,,O0PyeMzJTv8X,CSE
TJL.N0000,BUY,500,35.30,"17,650.00",QUEUED,500,,,CAS/92390-LI/0,0,0,DAY,2026-01-16,500,0,2026-01-16 22:37:40.0,92390LI0-woLy28gAr,2026-01-16 22:37:40,,,-,CSE
DOCK.N0000,BUY,230,114.00,"26,220.00",EXPIRED,0,Expired (end of day),,CAS/92390-LI/0,0,0,DAY,,0,0,2026-01-16 09:22:08.0,92390LI0-woLUSgKX3,2026-01-16 14:52:37,E0PwTj3eeXY6,,O0PwTnthDhZy,CSE
DOCK.N0000,BUY,230,114.00,"26,220.00",NEW,230,,,CAS/92390-LI/0,0,0,DAY,,230,0,2026-01-16 08:55:53.0,92390LI0-woLUSgKX3,2026-01-16 14:25:53,E0PwTj3eeVSJ,,O0PwTnthDhZy,CSE
DOCK.N0000,BUY,100,115.50,"11,550.00",FILLED,0,,ASI,CAS/92390-LI/0,100,100,DAY,,0,0,2026-01-16 08:55:00.0,92390LI0-woasR2jyA,2026-01-16 14:25:01,E0PwTj3eeVIU,,O0PwTnthDhB3,CSE
DOCK.N0000,BUY,50,115.75,"5,787.50",FILLED,0,,ASI,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-16 08:55:00.0,92390LI0-wopRxE1uJ,2026-01-16 14:25:00,E0PwTj3eeVIK,,O0PwTnthDh9V,CSE
DOCK.N0000,BUY,50,116.00,"5,800.00",FILLED,0,,ASI,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-16 08:54:42.0,92390LI0-wotkSz39A,2026-01-16 14:24:42,E0PwTj3eeVFN,,O0PwTnthDhCn,CSE
DOCK.N0000,BUY,50,116.00,"5,800.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-16 08:49:09.0,92390LI0-wotkSz39A,2026-01-16 14:19:09,E0PwTj3eeUQF,,O0PwTnthDhCn,CSE
